country,co2_emissions_g,ef_kgco2_per_kwh,ef_gco2_per_kwh,land_area_2022,daily_pv_average,yearly_pv,solar_capacity_factor
Brunei,4607671170655.301,NA,NA,5270,3.81,1390.65,0.15875
Cambodia,4543344790472.7,0.58586,585.86,176520,4.09,1492.85,0.17041666666666666
Indonesia,269898787866100,0.7777147540983607,777.7147540983607,1892555.47,3.67,1339.55,0.15291666666666667
Laos,16285951096238.002,0.5743209523809524,574.3209523809523,230800,3.73,1361.45,0.15541666666666668
Malaysia,116864051022130,0.6703390243902442,670.3390243902442,328550,3.71,1354.15,0.15458333333333335
Myanmar,8734783418054.1,0.3948,394.8,652670,4.01,1463.6499999999999,0.1670833333333333
Philippines,82743445385673,0.5160018867924526,516.0018867924526,298170,3.8,1387,0.15833333333333333
Singapore,20002968096321,0.4862333333333333,486.2333333333333,718,3.55,1295.75,0.14791666666666667
Thailand,80124643758684,0.5483403846153844,548.3403846153843,510890,4.02,1467.3,0.16749999999999998
Vietnam,155307569551290,0.6029550201612924,602.9550201612924,313429,3.44,1255.6,0.1433333333333333
